	Pearson	Spearman	Kendall	Mutual_Info
Kaon PID NN score for muon hypothesis	-0.033220432231071836	-0.01753333127729809	-0.014063076101588301	0.005442497776337429
B decay vertex z position	0.008578853681755259	0.0017549739358814294	0.0011514558710042997	0.005216809470061534
Isolation: Charged cone 4-momentum of max-PT object transverse component	-0.01845862336784972	0.00666797707515505	0.0043805755297098865	0.004549642813585386
Isolation: B mass if two extra tracks (best fits) are added	0.011101316636503216	0.024989119460059578	0.01664514144438855	0.004217893104608628
Same-sign muon PID NN score for proton hypothesis	-0.016489041014625973	-0.027172485724496452	-0.018013867511467024	0.004103620534871233
Kaon PID muon system flag	-0.0331851622649128	-0.016011769016802874	-0.013074212631843784	0.0038440108940909212
Isolation: Neutral cone scalar sum of PT	-0.012267719317171136	0.002849253743808091	0.0020062019443240252	0.003561493698213347
Isolation: Charged cone 4-momentum of max-PT object energy component	-0.022258773337465287	0.0012537609131925578	0.0006431545199675855	0.0035215403207553564
Same-sign muon 4-momentum y component	0.005374711413707241	0.013787977990553904	0.009169687330480746	0.0032188954435001804
Isolation: Neutral cone phi difference between cone momentum and B	-0.01290443728351001	0.00010655776307836456	0.00021456153983299167	0.0028274468076885384
Opposite-sign muon invariant mass	-0.03270837143400689	0.005175342009045624	0.0038108368922433553	0.0026909931063787695
Kaon invariant mass	0.004705144881741409	0.004773833428175602	0.0034910290377891213	0.0023776091959657464
Isolation: Charged cone 4-momentum of max-PT object z component	-0.022265649448230965	0.0012299526324433523	0.0006286274698534009	0.0008341070040671639
Opposite-sign muon PID NN score for proton hypothesis	-0.013445300542515777	-0.027810791585028048	-0.01890769738743374	0.00020637194557693306
Isolation: Charged cone charge of max-PT object	-0.00019025747215243736	-0.005710113013239657	-0.0044817940810111525	0.00018974960059781054
Isolation: Charged cone scalar sum of PT	-0.021788260001228625	-0.006614165281685723	-0.0045374468229296685	0.00012543630629036073
Isolation: Neutral cone angle	9.673750195442764e-05	-0.0017472621178852839	-0.0014267053458506148	3.330332933482172e-05
Isolation: Charged cone vector sum of PT	-0.021443062713664987	-0.006369524006734109	-0.004402115577615887	0.0
Kaon PID NN score for ghost-track hypothesis	0.03144123014593317	0.04677242951235477	0.03141317168351672	0.0
