	Pearson	Spearman	Kendall	Mutual_Info
B 4-momentum x component	0.006916842671241809	0.016844262686261807	0.01079400328616988	0.004994625560112098
Same-sign muon invariant mass	0.0008000044175200171	0.01984401941659001	0.01426899497795878	0.004600816416129305
B decay vertex z position	0.010168863513945739	0.014609377638934558	0.009719656047860485	0.00457699141773471
Opposite-sign muon magnitude of momentum	0.03321762403574334	0.008905919591433244	0.00595707654164491	0.004516871432320713
Opposite-sign muon 4-momentum energy component	0.0332177262261223	0.008905919591433244	0.00595707654164491	0.004516672522113296
Isolation: Neutral cone momentum sum y component	0.008779519205167964	-0.0006144432340313199	-0.00041841238437006486	0.003988918366019334
Opposite-sign muon PID NN score for electron hypothesis	-0.007632003796611262	0.004798663536188179	0.0032720476628529745	0.0038436059970226033
dimuon-system 4-momentum x component	0.00159318221966232	0.012862918343098865	0.008251110391750485	0.0037985289713251547
Isolation: Neutral cone vector sum of PT	-0.067928295614608	-0.056802288744030864	-0.038444135035871144	0.003749160794353834
Opposite-sign muon magnitude of momentum transverse to beam	-0.0032050772072489834	0.021199314506883515	0.014206142603120349	0.0035278220082908263
Kaon PID muon system flag	0.005673496436349142	-0.009564441210672433	-0.0078097249408940785	0.0033453274657380128
Kaon PID NN score for muon hypothesis	0.005686957227939609	-0.008996972402789368	-0.0073005279387152655	0.0030822460352606385
Opposite-sign muon 4-momentum y component	-0.002894767085664133	-0.009658564844816777	-0.006385343451060461	0.0030000210181384546
Isolation: Charged cone number of particles contained	-0.03364755640946761	-0.042137352072285035	-0.02914023025465001	0.001953571022088152
Same-sign muon 4-momentum x component	0.0024706688359579483	0.011445609033237374	0.007618428013729302	0.0019339637297033363
Isolation: Charged cone asymmetry between cone momentum and B momentum z component	0.0381044383823992	0.05356344485219788	0.036095607853617366	0.00138491803811025
dimuon-system cos(angle) between line-of-flight from B-decay vertex and momentum	0.016742135809599427	-0.005537177887571117	-0.0037328937373210078	0.0009167173027742059
Isolation: Charged cone charge of max-PT object	-0.0014520942640527184	0.003733733597236318	0.0029496682497300347	0.0007119464516003315
Isolation: Charged cone asymmetry between cone momentum and B momentum	0.038022320965673574	0.053539866431461226	0.036080700170748325	0.0006238658994872637
dimuon-system decay vertex z position	0.012590546209874105	0.015645229058235847	0.010383442289937166	0.00013213942549672453
Isolation: Neutral cone angle	-0.004819120839702234	-0.013244986963764771	-0.010815028578701284	9.9969996001259e-05
Isolation: Neutral cone asymmetry between cone momentum and B momentum x component	0.01283209099969182	0.05631091257787649	0.038247105471927716	0.0
Isolation: Charged cone 4-momentum of max-PT object transverse component	-0.004782661397109198	-0.039842316183392124	-0.02665054935619898	0.0
Isolation: Charged cone phi difference between cone momentum and B	0.06048216076592183	0.0397052712984821	0.026521415324102442	0.0
Isolation: Charged cone angle				0.0
Isolation: Charged cone asymmetry between cone momentum and B momentum y component	-0.0028873299806624355	0.03816444033775818	0.025625685698426368	0.0
